city,date,rain_mm,rh,ta,ws
강원,2015-01-01,0.0,45.0,-7.8,1.9
강원,2015-01-02,0.0,60.3,-7.7,1.3
강원,2015-01-03,0.0,69.8,-6.6,0.6
강원,2015-01-04,0.0,82.0,-0.4,0.5
강원,2015-01-05,1.8,90.6,0.0,0.6
강원,2015-01-06,0.0,64.5,-1.6,1.8
강원,2015-01-07,0.0,59.8,-7.6,0.7
강원,2015-01-08,0.0,66.1,-7.5,0.7
강원,2015-01-09,0.0,68.3,-5.6,0.9
강원,2015-01-10,0.4,65.9,-2.6,1.3
강원,2015-01-11,0.0,63.0,0.3,2.0
강원,2015-01-12,0.0,63.9,-4.7,0.6
강원,2015-01-13,0.0,71.9,-4.6,0.6
강원,2015-01-14,0.0,67.3,-0.8,0.5
강원,2015-01-15,0.0,80.0,0.3,0.8
강원,2015-01-16,1.4,81.6,-1.2,1.5
강원,2015-01-17,0.0,53.0,-3.7,1.7
강원,2015-01-18,6.2,77.1,-4.4,0.9
강원,2015-01-19,0.0,69.8,0.2,2.0
강원,2015-01-20,0.0,76.5,-4.2,0.6
강원,2015-01-21,0.0,77.1,-1.2,0.7
강원,2015-01-22,0.0,77.4,1.1,1.1
강원,2015-01-23,0.0,82.6,-1.2,1.1
강원,2015-01-24,0.0,77.5,0.5,0.9
강원,2015-01-25,8.4,89.5,0.1,0.6
강원,2015-01-26,0.0,99.0,2.0,0.5
강원,2015-01-27,0.0,67.5,-0.7,1.7
강원,2015-01-28,0.0,66.3,-3.4,1.1
강원,2015-01-29,0.0,76.9,-3.1,0.9
강원,2015-01-30,0.0,66.0,-2.7,1.2
강원,2015-01-31,0.0,66.8,-4.8,0.9
강원,2015-02-01,0.0,66.1,-4.4,0.7
강원,2015-02-02,0.0,69.8,-3.3,0.6
강원,2015-02-03,0.0,68.6,-2.2,0.6
강원,2015-02-04,0.0,72.5,-2.1,0.5
강원,2015-02-05,0.0,68.5,-1.2,0.8
강원,2015-02-06,0.0,68.5,-1.3,0.9
강원,2015-02-07,0.4,69.5,0.0,1.2
강원,2015-02-08,0.0,33.0,-7.6,3.1
강원,2015-02-09,0.0,55.5,-6.9,1.5
강원,2015-02-10,0.0,69.6,-1.1,1.5
강원,2015-02-11,0.0,61.1,1.2,1.5
강원,2015-02-12,0.0,42.5,-2.6,2.1
강원,2015-02-13,0.0,49.3,-3.1,1.3
강원,2015-02-14,0.3,88.5,-2.8,0.5
강원,2015-02-15,1.3,75.0,4.7,1.1
강원,2015-02-16,12.7,94.9,3.2,1.5
강원,2015-02-17,0.3,90.8,2.1,1.0
강원,2015-02-18,0.0,92.0,0.9,0.6
강원,2015-02-19,0.0,84.8,0.9,0.9
강원,2015-02-20,0.0,78.8,1.7,0.7
강원,2015-02-21,10.9,92.3,3.0,0.8
강원,2015-02-22,0.0,73.5,4.2,2.4
강원,2015-02-23,0.0,57.3,1.4,2.0
강원,2015-02-24,0.0,67.3,1.2,1.1
강원,2015-02-25,1.4,61.5,3.9,1.2
강원,2015-02-26,0.0,59.1,2.0,2.9
강원,2015-02-27,0.0,42.8,-1.4,1.6
강원,2015-02-28,0.0,57.0,1.2,0.8
강원,2015-03-01,0.0,55.1,3.0,2.3
강원,2015-03-02,0.2,57.9,1.9,1.2
강원,2015-03-03,3.5,81.3,2.0,1.3
강원,2015-03-04,0.0,44.3,-1.4,3.4
강원,2015-03-05,0.0,59.4,-1.9,0.7
강원,2015-03-06,0.0,57.0,0.9,0.9
강원,2015-03-07,0.0,58.1,2.7,0.7
강원,2015-03-08,0.0,52.8,5.6,0.8
강원,2015-03-09,0.0,43.4,3.4,3.1
강원,2015-03-10,0.0,28.6,-2.6,3.7
강원,2015-03-11,0.0,42.0,-0.3,2.5
강원,2015-03-12,0.0,36.4,1.9,2.4
강원,2015-03-13,0.0,54.4,4.2,1.8
강원,2015-03-14,0.0,44.9,3.4,1.2
강원,2015-03-15,0.0,48.5,4.6,1.2
강원,2015-03-16,0.0,48.6,6.7,1.0
강원,2015-03-17,0.0,55.5,8.2,0.7
강원,2015-03-18,1.8,68.4,8.9,2.2
강원,2015-03-19,0.0,61.6,12.0,1.2
강원,2015-03-20,0.0,47.8,12.0,1.1
강원,2015-03-21,0.0,40.9,10.5,1.4
강원,2015-03-22,0.0,36.6,7.8,2.6
강원,2015-03-23,0.0,33.3,4.0,2.2
강원,2015-03-24,0.0,38.6,4.4,1.2
강원,2015-03-25,0.0,44.8,5.4,1.0
강원,2015-03-26,0.0,44.6,8.4,1.2
강원,2015-03-27,0.0,50.8,9.3,1.7
강원,2015-03-28,0.0,41.8,9.7,1.8
강원,2015-03-29,0.0,40.3,13.3,1.3
강원,2015-03-30,0.0,55.8,12.5,1.4
강원,2015-03-31,11.3,82.9,11.4,0.8
강원,2015-04-01,0.0,72.6,10.1,2.6
강원,2015-04-02,34.4,74.9,12.8,1.9
강원,2015-04-03,0.0,72.9,13.6,2.5
강원,2015-04-04,0.0,51.5,11.1,3.0
강원,2015-04-05,0.8,79.0,9.2,1.3
강원,2015-04-06,0.0,64.8,11.3,1.4
강원,2015-04-07,0.0,61.3,6.7,2.6
강원,2015-04-08,0.0,60.3,7.5,1.7
강원,2015-04-09,0.0,57.6,8.2,1.2
강원,2015-04-10,0.0,51.6,10.2,0.9
강원,2015-04-11,0.0,49.9,12.2,1.2
강원,2015-04-12,0.0,50.6,12.1,1.9
강원,2015-04-13,18.2,62.6,10.5,2.3
