date, pm25, pm10, o3, no2, so2, co
2025/6/1, 87, 52, 28, 16, 5, 11
2025/6/2, 111, , , , , 
2025/5/1, 68, 34, 46, 9, 4, 6
2025/5/2, 57, 28, 40, 11, 3, 7
2025/5/3, 61, 37, 45, 5, 3, 6
2025/5/4, 59, 34, 43, 9, 4, 9
2025/5/5, 60, 37, 42, 15, 7, 17
2025/5/6, 64, 36, 50, 12, 2, 5
2025/5/7, 69, 42, 48, 15, 3, 5
2025/5/8, 75, 36, 39, 21, 4, 9
2025/5/9, 60, 26, 42, 8, 3, 7
2025/5/10, 44, 30, 48, 6, 3, 7
2025/5/11, 63, 41, 65, 9, 3, 7
2025/5/12, 75, 46, 86, 13, 3, 7
2025/5/13, 79, 44, 95, 9, 4, 6
2025/5/14, 83, 31, 43, 7, 3, 4
2025/5/15, 65, 33, 34, 13, 5, 8
2025/5/16, 63, 26, 42, 8, 4, 7
2025/5/17, 59, 55, 42, 7, 5, 6
2025/5/18, 66, 49, 63, 10, 3, 5
2025/5/19, 66, 42, 57, 9, 3, 6
2025/5/20, 69, 40, 44, 12, 6, 7
2025/5/21, 58, 41, 44, 16, 8, 11
2025/5/22, 70, 41, 44, 12, 5, 7
2025/5/23, 76, 38, 42, 18, 10, 18
2025/5/24, 68, 23, 42, 9, 5, 7
2025/5/25, 56, 37, 70, 13, 4, 7
2025/5/26, 73, 48, 67, 17, 8, 9
2025/5/27, 90, 52, 48, 17, 10, 9
2025/5/28, 91, 41, 41, 14, 9, 9
2025/5/29, 77, 34, 41, 11, 7, 9
2025/5/30, 61, 28, 51, 11, 6, 8
2025/5/31, 61, 44, 46, 13, 10, 10
2025/4/1, 92, 46, 40, 17, 6, 7
2025/4/2, 69, 39, 40, 15, 4, 6
2025/4/3, 61, 52, 53, 18, 6, 7
2025/4/4, 83, 46, 47, 15, 4, 6
2025/4/5, 80, 42, 47, 7, 3, 6
2025/4/6, 70, 44, 54, 11, 3, 5
2025/4/7, 62, 63, 66, 13, 4, 6
2025/4/8, 81, 67, 48, 18, 6, 7
2025/4/9, 99, 59, 62, 17, 6, 8
2025/4/10, 94, 53, 58, 19, 7, 9
2025/4/11, 89, 56, 54, 19, 8, 8
2025/4/12, 96, 48, 40, 6, 3, 6
2025/4/13, 60, 35, 39, 11, 3, 6
2025/4/14, 62, 27, 43, 8, 2, 5
2025/4/15, 53, 40, 69, 11, 3, 6
2025/4/16, 66, 51, 59, 7, 2, 3
2025/4/17, 72, 58, 73, 6, 2, 3
2025/4/18, 87, 42, 45, 4, 2, 3
2025/4/19, 67, 21, 46, 2, 2, 3
2025/4/20, 55, 25, 46, 6, 3, 3
2025/4/21, 55, 34, 31, 18, 3, 5
2025/4/22, 69, 23, 38, 6, 3, 3
2025/4/23, 43, 49, 63, 8, 3, 4
2025/4/24, 67, 61, 48, 11, 3, 6
2025/4/25, 99, 41, 68, 7, 2, 6
