date, pm25, pm10, o3, no2, so2, co
2025/6/1, 93, 46, 32, 10, 4, 4
2025/6/2, 94, , , , , 
2025/5/1, 56, 33, 43, 12, 4, 4
2025/5/2, 62, 22, 45, 12, 3, 3
2025/5/3, 57, 29, 47, 9, 4, 4
2025/5/4, 55, 22, 36, 12, 4, 4
2025/5/5, 50, 23, 34, 11, 4, 3
2025/5/6, 55, 26, 48, 11, 4, 3
2025/5/7, 59, 46, 48, 14, 3, 4
2025/5/8, 65, 22, 41, 13, 2, 3
2025/5/9, 46, 21, 49, 9, 2, 3
2025/5/10, 44, 40, 50, 9, 3, 4
2025/5/11, 76, 37, 50, 14, 3, 4
2025/5/12, 74, 39, 82, 13, 3, 5
2025/5/13, 77, 38, 75, 9, 3, 4
2025/5/14, 69, 22, 40, 13, 4, 3
2025/5/15, 52, 14, 34, 11, 3, 3
2025/5/16, 34, 21, 43, 9, 5, 3
2025/5/17, 45, 46, 44, 7, 3, 2
2025/5/18, 71, 34, 50, 10, 3, 2
2025/5/19, 61, 21, 37, 9, 4, 3
2025/5/20, 44, 18, 38, 8, 4, 4
2025/5/21, 38, 24, 26, 11, 4, 3
2025/5/22, 54, 30, 46, 9, 3, 3
2025/5/23, 62, 25, 38, 7, 3, 4
2025/5/24, 58, 18, 47, 6, 3, 4
2025/5/25, 36, 39, 76, 14, 3, 5
2025/5/26, 67, 45, 100, 13, 4, 5
2025/5/27, 78, 44, 86, 15, 5, 5
2025/5/28, 79, 47, 89, 15, 17, 5
2025/5/29, 82, 53, 78, 16, 14, 5
2025/5/30, 95, 47, 72, 13, 4, 4
2025/5/31, 93, 47, 77, 11, 4, 5
2025/4/1, 86, 49, 55, 20, 3, 5
2025/4/2, 83, 46, 49, 14, 3, 5
2025/4/3, 92, 49, 49, 18, 3, 6
2025/4/4, 104, 36, 43, 15, 2, 5
2025/4/5, 77, 36, 48, 9, 3, 4
2025/4/6, 69, 37, 59, 15, 3, 5
2025/4/7, 61, 55, 67, 13, 3, 5
2025/4/8, 77, 46, 54, 17, 3, 5
2025/4/9, 68, 49, 56, 15, 3, 4
2025/4/10, 81, 49, 64, 20, 3, 4
2025/4/11, 89, 37, 56, 13, 4, 5
2025/4/12, 67, 38, 36, 6, 3, 3
2025/4/13, 45, 30, 37, 11, 3, 3
2025/4/14, 47, 27, 43, 13, 3, 4
2025/4/15, 57, 38, 80, 13, 4, 4
2025/4/16, 67, 53, 63, 13, 5, 3
2025/4/17, 69, 58, 58, 18, 6, 4
2025/4/18, 87, 38, 42, 17, 5, 3
2025/4/19, 67, 20, 42, 12, 4, 3
2025/4/20, 52, 38, 42, 15, 6, 4
2025/4/21, 70, 17, 32, 12, 4, 4
2025/4/22, 44, 33, 43, 13, 4, 4
2025/4/23, 74, 42, 54, 10, 3, 4
2025/4/24, 71, 52, 42, 14, 4, 6
2025/4/25, 87, 34, 58, 13, 3, 5
2025/4/26, 51, 28, 48, 10, 3, 5
2025/4/27, 43, 34, 50, 14, 4, 4
2025/4/28, 53, 40, 52, 11, 4, 5
2025/4/29, 66, 43, 62, 12, 3, 5
2025/4/30, 66, 36, 54, 10, 3, 3
2025/1/1, 63, 46, 26, 24, 4, 5
