date, pm25, pm10, o3, no2, so2, co
2025/6/1, 104, 54, 30, 8, 4, 3
2025/6/2, 115, , , , , 
2025/5/1, 48, 28, 45, 6, 3, 2
2025/5/2, 52, 23, 49, 6, 3, 3
2025/5/3, 52, 25, 53, 5, 3, 2
2025/5/4, 47, 24, 37, 7, 3, 2
2025/5/5, 46, 22, 45, 5, 3, 2
2025/5/6, 44, 24, 45, 7, 3, 2
2025/5/7, 48, 45, 54, 10, 3, 2
2025/5/8, 65, 27, 46, 7, 3, 2
2025/5/9, 51, 22, 54, 3, 3, 2
2025/5/10, 46, 40, 69, 5, 3, 3
2025/5/11, 73, 39, 72, 8, 3, 3
2025/5/12, 71, 40, 55, 10, 3, 3
2025/5/13, 77, 41, 58, 9, 3, 3
2025/5/14, 73, 20, 31, 4, 3, 2
2025/5/15, 43, 15, 29, 7, 3, 2
2025/5/16, 34, 21, 33, 3, 4, 2
2025/5/17, 57, 43, 32, 4, 3, 3
2025/5/18, 67, 35, 50, 7, 3, 3
2025/5/19, 65, 18, 38, 5, 3, 2
2025/5/20, 36, 17, 42, 5, 3, 2
2025/5/21, 36, 21, 28, 7, 3, 2
2025/5/22, 56, 32, 41, 6, 4, 2
2025/5/23, 63, 21, 39, 3, 3, 2
2025/5/24, 46, 18, 46, 3, 3, 2
2025/5/25, 40, 38, 84, 6, 4, 3
2025/5/26, 70, 43, 88, 7, 4, 3
2025/5/27, 82, 44, 81, 7, 4, 3
2025/5/28, 90, 47, 93, 8, 4, 3
2025/5/29, 96, 52, 81, 8, 4, 3
2025/5/30, 97, 49, 76, 6, 4, 3
2025/5/31, 94, 49, 80, 5, 4, 3
2025/4/1, 96, 55, 56, 14, 3, 4
2025/4/2, 112, 50, 52, 9, 3, 3
2025/4/3, 102, 54, 51, 11, 3, 3
2025/4/4, 110, 38, 45, 7, 3, 3
2025/4/5, 80, 40, 49, 6, 4, 3
2025/4/6, 66, 49, 61, 13, 3, 3
2025/4/7, 75, 59, 59, 8, 3, 3
2025/4/8, 82, 53, 48, 15, 4, 3
2025/4/9, 80, 46, 52, 7, 4, 3
2025/4/10, 76, 50, 66, 12, 3, 4
2025/4/11, 95, 35, 54, 10, 4, 3
2025/4/12, 62, 37, 38, 3, 3, 2
2025/4/13, 31, 24, 36, 7, 3, 2
2025/4/14, 35, 23, 47, 7, 3, 3
2025/4/15, 46, 37, 78, 9, 4, 3
2025/4/16, 59, 55, 66, 6, 4, 3
2025/4/17, 66, 58, 59, 7, 3, 3
2025/4/18, 86, 29, 43, 4, 4, 2
2025/4/19, 51, 22, 45, 4, 3, 2
2025/4/20, 55, 38, 44, 9, 4, 3
2025/4/21, 72, 18, 31, 8, 3, 3
2025/4/22, 39, 26, 47, 6, 3, 3
2025/4/23, 59, 35, 55, 5, 3, 3
2025/4/24, 63, 48, 43, 10, 3, 3
2025/4/25, 77, 33, 57, 9, 3, 2
2025/4/26, 47, 24, 50, 7, 3, 2
2025/4/27, 35, 30, 51, 8, 3, 2
2025/4/28, 52, 39, 57, 8, 3, 3
2025/4/29, 60, 47, 75, 10, 3, 3
2025/4/30, 66, 30, 56, 4, 3, 2
2025/1/1, 60, 43, 30, 15, 3, 4
2025/1/2, 88, 21, 31, 7, 4, 2
2025/1/3, 54, 29, 29, 14, 3, 3
2025/1/4, 69, 26, 29, 12, 3, 3
2025/1/5, 65, 41, 30, 8, 3, 3
2025/1/6, 94, 20, 25, 8, 3, 2
2025/1/7, 53, 19, 29, 12, 3, 3
2025/1/8, 58, 16, 28, 5, 3, 2
2025/1/9, 37, 27, 26, 11, 3, 3
2025/1/10, 60, 37, 28, 10, 3, 3
2025/1/11, 84, 36, 32, 13, 3, 4
2025/1/12, 87, 44, 31, 13, 3, 4
2025/1/13, 105, 51, 39, 12, 4, 3
2025/1/15, 48, 37, 26, 15, 4, 3
2025/1/16, 56, 55, 27, 24, 4, 5
2025/1/17, 94, 56, 25, 24, 4, 6
2025/1/18, 109, 49, 30, 19, 4, 4
2025/1/19, 106, 59, 39, 24, 4, 5
2025/1/20, 127, 81, 35, 26, 4, 7
2025/1/21, 162, 73, 33, 25, 4, 6
2025/1/22, 155, 59, 30, 21, 4, 6
2025/1/23, 130, 50, 28, 23, 4, 5
2025/1/24, 97, 37, 34, 20, 4, 4
2025/1/25, 80, 18, 33, 8, 3, 3
2025/1/26, 40, 36, 31, 7, 3, 3
2025/1/27, 61, 19, 34, 4, 3, 3
2025/1/28, 40, 20, 32, 5, 3, 2
2025/1/29, 38, 30, 35, 10, 3, 3
2025/1/30, 64, 40, 28, 18, 3, 3
2025/1/31, 81, 44, 21, 14, 3, 4
2025/2/1, 100, 48, 36, 11, 3, 4
2025/2/2, 106, 33, 34, 5, 4, 3
2025/2/3, 59, 20, 31, 6, 3, 2
2025/2/4, 33, 21, 32, 10, 3, 3
2025/2/5, 44, 25, 32, 12, 3, 3
2025/2/6, 49, 25, 30, 8, 3, 3
2025/2/7, 49, 29, 32, 11, 3, 3
2025/2/8, 44, 28, 33, 10, 3, 4
2025/2/9, 54, 35, 33, 16, 3, 4
2025/2/10, 71, 46, 38, 23, 4, 5
2025/2/11, 92, 32, 34, 17, 3, 5
2025/2/12, 73, 33, 35, 13, 4, 3
2025/2/13, 38, 52, 39, 21, 4, 4
2025/2/14, 84, 64, 34, 22, 4, 5
2025/2/15, 128, 65, 46, 15, 4, 5
2025/2/16, 120, 43, 35, 7, 4, 3
2025/2/17, 48, 27, 33, 6, 4, 3
2025/2/18, 37, 25, 32, 10, 4, 3
2025/2/19, 39, 32, 34, 10, 3, 3
2025/2/20, 47, 30, 35, 11, 3, 3
2025/2/21, 48, 32, 37, 9, 3, 3
2025/2/22, 65, 28, 36, 4, 3, 3
2025/2/23, 54, 30, 38, 10, 3, 3
2025/2/24, 51, 32, 38, 16, 3, 3
2025/2/25, 61, 51, 40, 11, 3, 3
2025/2/26, 83, 55, 47, 20, 4, 4
2025/2/27, 85, 30, 39, 14, 4, 3
2025/2/28, 72, 47, 19, 16, 3, 5
2025/3/1, 114, 34, 40, 6, 3, 4
2025/3/2, 86, 11, 38, 3, 3, 3
2025/3/3, 21, 8, 36, 5, 3, 2
2025/3/4, 20, 13, 26, 11, 3, 3
2025/3/5, 29, 39, 42, 8, 4, 4
2025/3/6, 71, 57, 46, 15, 3, 5
2025/3/7, 124, 48, 44, 13, 3, 4
2025/3/8, 105, 49, 47, 12, 3, 4
2025/3/9, 107, 55, 52, 17, 3, 4
2025/3/10, 124, 51, 53, 18, 3, 4
2025/3/11, 113, 50, 44, 15, 3, 4
2025/3/12, 107, 58, 36, 9, 3, 3
2025/3/13, 78, 67, 49, 12, 4, 3
2025/3/14, 80, 28, 37, 5, 2, 2
2025/3/15, 43, 34, 41, 4, 3, 3
2025/3/16, 58, 43, 43, 7, 3, 3
2025/3/17, 74, 37, 43, 7, 3, 3
2025/3/18, 80, 51, 47, 13, 3, 4
2025/3/19, 103, 56, 58, 15, 3, 4
2025/3/20, 114, 61, 53, 15, 4, 4
2025/3/21, 120, 68, 61, 15, 4, 5
2025/3/22, 133, 71, 69, 13, 4, 5
2025/3/23, 141, 69, 65, 11, 4, 4
2025/3/24, 128, 96, 75, 13, 3, 5
2025/3/25, 142, 78, 86, 22, 3, 4
2025/3/26, 86, 40, 44, 11, 3, 3
2025/3/27, 67, 42, 37, 6, 3, 3
2025/3/28, 71, 30, 37, 7, 3, 3
2025/3/29, 38, 33, 42, 5, 3, 3
2025/3/30, 38, 43, 50, 12, 3, 3
2025/3/31, 65, 72, 58, 13, 3, 3
2024/10/1, 55, 21, 46, 6, 2, 2
2024/10/2, 42, 24, 20, 9, 2, 2
2024/10/3, 54, 17, 37, 7, 2, 2
2024/10/4, 43, 30, 44, 8, 2, 2
2024/10/5, 59, 29, 23, 7, 3, 3
2024/10/6, 59, 31, 48, 8, 3, 3
2024/10/7, 73, 43, 52, 9, 2, 4
2024/10/8, 99, 41, 40, 9, 2, 3
2024/10/9, 86, 30, 41, 8, 2, 2
2024/10/10, 58, 36, 52, 9, 2, 3
2024/10/11, 70, 48, 59, 9, 2, 3
2024/10/12, 91, 48, 49, 8, 2, 3
2024/10/13, 89, 34, 27, 9, 2, 2
2024/10/14, 62, 21, 16, 7, 2, 2
2024/10/15, 52, 37, 37, 12, 2, 3
2024/10/16, 78, 48, 32, 11, 2, 3
2024/10/17, 87, 37, 23, 8, 2, 2
2024/10/18, 57, 22, 27, 3, 2, 2
2024/10/19, 45, 16, 29, 2, 2, 2
2024/10/20, 27, 29, 15, 10, 2, 2
2024/10/21, 39, 16, 34, 7, 2, 1
2024/10/22, 42, 22, 34, 5, 2, 1
2024/10/23, 36, 27, 37, 11, 2, 2
2024/10/24, 51, 41, 27, 14, 2, 2
2024/10/25, 71, 36, 36, 12, 2, 2
2024/10/26, 63, 40, 37, 8, 2, 2
2024/10/27, 78, 37, 32, 8, 2, 2
2024/10/28, 75, 26, 26, 10, 2, 2
2024/10/29, 45, 45, 47, 11, 2, 2
2024/10/30, 80, 50, 40, 11, 2, 2
2024/10/31, 100, 38, 17, 13, 2, 2
2024/11/1, 76, 23, 34, 7, 2, 2
2024/11/2, 54, 32, 35, 9, 2, 2
