date, pm25, pm10, o3, no2, so2, co
2025/6/1, 62, 16, 48, 5, 2, 2
2025/6/2, 33, , , , , 
2025/5/1, 49, 30, 46, 9, 2, 2
2025/5/2, 45, 33, 62, 7, 1, 2
2025/5/3, 54, 20, 49, 6, 2, 2
2025/5/4, 38, 20, 38, 7, 1, 2
2025/5/5, 29, 21, 38, 7, 1, 2
2025/5/6, 49, 25, 43, 12, 1, 2
2025/5/7, 47, 53, 47, 10, 1, 2
2025/5/8, 66, 23, 44, 5, 1, 2
2025/5/9, 45, 18, 47, 5, 1, 3
2025/5/10, 34, 29, 51, 6, 2, 3
2025/5/11, 61, 30, 69, 11, 2, 3
2025/5/12, 70, 31, 68, 19, 2, 3
2025/5/13, 73, 30, 63, 14, 2, 3
2025/5/14, 69, 17, 31, 11, 2, 2
2025/5/15, 38, 12, 35, 12, 2, 2
2025/5/16, 32, 15, 64, 6, 2, 2
2025/5/17, 36, 33, 45, 7, 2, 3
2025/5/18, 61, 24, 56, 12, 2, 3
2025/5/19, 45, 21, 31, 14, 3, 3
2025/5/20, 45, 8, 21, 10, 2, 2
2025/5/21, 24, 10, 27, 8, 2, 2
2025/5/22, 25, 20, 38, 4, 1, 2
2025/5/23, 42, 24, 39, 6, 2, 3
2025/5/24, 62, 25, 38, 6, 1, 3
2025/5/25, 57, 25, 63, 11, 2, 3
2025/5/26, 58, 22, 55, 10, 2, 3
2025/5/27, 45, 36, 65, 15, 3, 4
2025/5/28, 78, 27, 60, 8, 2, 3
2025/5/29, 64, 28, 64, 13, 2, 3
2025/5/30, 65, 33, 50, 10, 2, 3
2025/5/31, 72, 25, 54, 9, 2, 3
2025/4/1, 71, 31, 48, 13, 2, 3
2025/4/2, 62, 40, 44, 9, 2, 4
2025/4/3, 78, 48, 31, 15, 2, 3
2025/4/4, 86, 33, 51, 8, 2, 2
2025/4/5, 66, 32, 46, 9, 2, 3
2025/4/6, 62, 35, 50, 14, 1, 2
