date, pm25, pm10, o3, no2, so2, co
2025/6/1, 106, 57, 64, 25, 5, 8
2025/6/2, 120, , , , , 
2025/5/1, 58, 29, 47, 11, 2, 4
2025/5/2, 64, 19, 42, 13, 2, 4
2025/5/3, 60, 28, 48, 8, 2, 4
2025/5/4, 53, 24, 39, 14, 2, 4
2025/5/5, 55, 22, 42, 12, 2, 4
2025/5/6, 55, 26, 59, 17, 4, 5
2025/5/7, 57, 57, 69, 17, 3, 5
2025/5/8, 90, 31, 39, 14, 2, 4
2025/5/9, 59, 12, 44, 9, 2, 4
2025/5/10, 33, 39, 63, 11, 2, 5
2025/5/11, 81, 38, 70, 16, 2, 5
2025/5/12, 83, 38, 79, 19, 2, 5
2025/5/13, 84, 60, 90, 17, 2, 5
2025/5/14, 80, 21, 40, 12, 2, 5
2025/5/15, 53, 14, 35, 12, 2, 4
2025/5/16, 40, 11, 40, 8, 2, 3
2025/5/17, 24, 38, 48, 8, 2, 4
2025/5/18, 67, 34, 48, 16, 2, 4
2025/5/19, 67, 21, 40, 8, 2, 4
2025/5/20, 38, 16, 44, 13, 2, 5
2025/5/21, 40, 23, 33, 12, 2, 5
2025/5/22, 55, 25, 45, 7, 2, 4
2025/5/23, 63, 23, 36, 9, 2, 4
2025/5/24, 54, 17, 59, 9, 2, 4
2025/5/25, 42, 28, 75, 12, 2, 4
2025/5/26, 66, 40, 89, 14, 3, 5
2025/5/27, 85, 45, 91, 14, 3, 5
2025/5/28, 92, 43, 91, 16, 2, 5
2025/5/29, 93, 27, 56, 13, 2, 4
2025/5/30, 64, 32, 73, 15, 2, 5
2025/5/31, 71, 44, 88, 11, 4, 8
2025/4/1, 98, 53, 58, 35, 2, 6
2025/4/2, 101, 41, 50, 21, 2, 5
2025/4/3, 99, 49, 54, 30, 3, 5
2025/4/4, 106, 33, 43, 19, 2, 5
2025/4/5, 76, 36, 49, 12, 2, 4
2025/4/6, 70, 41, 65, 24, 2, 4
2025/4/7, 70, 61, 65, 15, 3, 5
2025/4/8, 83, 45, 57, 26, 3, 5
2025/4/9, 75, 45, 70, 18, 3, 4
2025/4/10, 80, 47, 71, 33, 3, 5
2025/4/11, 98, 37, 56, 23, 3, 4
2025/4/12, 81, 32, 38, 10, 1, 3
2025/4/13, 39, 23, 37, 20, 2, 4
2025/4/14, 45, 22, 43, 22, 2, 4
2025/4/15, 60, 37, 71, 26, 2, 5
2025/4/16, 67, 50, 66, 21, 2, 4
2025/4/17, 68, 62, 76, 25, 3, 5
2025/4/18, 94, 39, 45, 11, 2, 3
2025/4/19, 61, 20, 50, 9, 2, 4
2025/4/20, 56, 20, 44, 16, 2, 4
2025/4/21, 45, 14, 30, 16, 2, 4
2025/4/22, 37, 21, 49, 11, 3, 4
2025/4/23, 33, 40, 62, 11, 2, 4
2025/4/24, 72, 55, 44, 18, 2, 5
2025/4/25, 112, 31, 59, 15, 2, 4
2025/4/26, 51, 22, 50, 13, 2, 4
2025/4/27, 41, 29, 58, 17, 3, 4
2025/4/28, 54, 41, 64, 16, 3, 5
2025/4/29, 72, 38, 66, 18, 4, 4
2025/4/30, 68, 28, 45, 14, 2, 4
2025/1/1, 81, 48, 24, 50, 3, 8
2025/1/2, 101, 34, 29, 28, 3, 6
2025/1/3, 59, 30, 29, 33, 3, 7
2025/1/4, 70, 35, 33, 36, 3, 7
2025/1/5, 85, 48, 32, 30, 3, 8
2025/1/6, 115, 35, 27, 22, 3, 6
2025/1/7, 61, 30, 27, 29, 2, 6
