시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합,year,pm_type,농도
강원,41014,436371,407771,5202848,147775,1584179,94362,53004,3898453,3510,11869287,2015,pm10,50
경기,73304,2280289,2731892,24596996,251929,1970694,63149,247980,886139,45843,33148215,2015,pm10,53
경남,25106,967513,913132,8425282,96540,1194229,79147,934851,2137713,12650,14786163,2015,pm10,46
경북,22566,1098931,952061,10791358,205306,3126558,1418146,27288,26611223,11123,44264560,2015,pm10,45
광주,6176,143596,115613,1485079,26508,86101,1280,2332,2424,2807,1871916,2015,pm10,43
대구,11144,394535,200923,2431810,52276,125811,1255,33114,680380,7627,3938875,2015,pm10,46
대전,8150,209390,137577,1426683,32186,87028,873,3780,607,5849,1912123,2015,pm10,46
부산,12179,303654,1293583,4534793,63677,81779,14525,49419,246704,6460,6606773,2015,pm10,46
서울,36302,531067,657397,7545457,221927,152342,0,7341,1610,9127,9162570,2015,pm10,45
울산,5495,213008,648967,1885303,37037,97483,791366,117384,2046830,67140,5910013,2015,pm10,46
인천,12078,336128,715544,6074099,41408,148480,258933,492068,203070,9708,8291516,2015,pm10,53
전남,17531,538567,1327503,9282685,104071,1521940,2386859,255673,18405029,14499,33854357,2015,pm10,38
전북,12318,538461,438024,7394781,75276,1158469,54253,59278,125932,19915,9876707,2015,pm10,50
제주,3684,147890,277533,2915248,17021,197503,1070,21333,955,1837,3584074,2015,pm10,44
충남,18872,745835,901170,8711180,100952,1419177,1405019,2070351,13266122,10908,28649586,2015,pm10,46
충북,9151,650419,389753,5839221,99562,1544201,85334,5157,2377902,14907,11015607,2015,pm10,51
강원,36912,401461,375463,814862,82304,1372406,84828,35477,1970534,2597,5176844,2015,pm2.5,26
경기,65974,2097866,2511019,3657737,166165,1674235,55135,239464,330504,38323,10836422,2015,pm2.5,26
경남,22595,890112,836711,1372390,62193,983028,58860,753755,1117454,10206,6107304,2015,pm2.5,25
경북,20310,1011017,876921,1787301,118155,2590643,1080424,24470,13736688,9355,21255284,2015,pm2.5,28
광주,5559,132109,106364,237331,17700,69542,1141,2332,1858,2387,576323,2015,pm2.5,26
대구,10030,362972,184849,409022,34310,104257,1077,28886,238595,6565,1380563,2015,pm2.5,26
대전,7335,192639,126570,226842,21756,72461,756,2251,489,4906,656005,2015,pm2.5,28
부산,10961,279361,1178036,701863,45987,71212,10637,47127,106711,5606,2457501,2015,pm2.5,26
서울,32672,488581,604805,1133052,167291,137764,0,7341,1152,6999,2579657,2015,pm2.5,23
울산,4946,195968,590976,291092,26115,78901,658235,78872,1002260,59415,2986780,2015,pm2.5,25
인천,10870,309238,657328,894050,31017,122204,181119,427242,88132,8306,2729506,2015,pm2.5,29
전남,15777,495482,1213488,1534928,65524,1207421,1798026,212624,9585054,12142,16140466,2015,pm2.5,25
전북,11086,495384,404223,1206100,47078,936704,45116,49760,69337,17229,3282017,2015,pm2.5,35
제주,3315,136059,254374,471506,10023,158049,959,11808,469,1385,1047947,2015,pm2.5,23
