시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,36912,401461,375463,814862,82304,1372406,84828,35477,1970534,2597,5176844
경기,65974,2097866,2511019,3657737,166165,1674235,55135,239464,330504,38323,10836422
경남,22595,890112,836711,1372390,62193,983028,58860,753755,1117454,10206,6107304
경북,20310,1011017,876921,1787301,118155,2590643,1080424,24470,13736688,9355,21255284
광주,5559,132109,106364,237331,17700,69542,1141,2332,1858,2387,576323
대구,10030,362972,184849,409022,34310,104257,1077,28886,238595,6565,1380563
대전,7335,192639,126570,226842,21756,72461,756,2251,489,4906,656005
바다,0,0,2859386,0,0,0,0,0,0,0,2859386
부산,10961,279361,1178036,701863,45987,71212,10637,47127,106711,5606,2457501
서울,32672,488581,604805,1133052,167291,137764,0,7341,1152,6999,2579657
세종,1384,43836,140595,142073,7190,44045,2601,14047,1737,2303,399811
울산,4946,195968,590976,291092,26115,78901,658235,78872,1002260,59415,2986780
인천,10870,309238,657328,894050,31017,122204,181119,427242,88132,8306,2729506
전남,15777,495482,1213488,1534928,65524,1207421,1798026,212624,9585054,12142,16140466
전북,11086,495384,404223,1206100,47078,936704,45116,49760,69337,17229,3282017
제주,3315,136059,254374,471506,10023,158049,959,11808,469,1385,1047947
충남,16985,686168,826589,1419641,64374,1157980,1076355,1669270,6918256,9131,13844749
충북,8236,598385,358567,948045,58289,1279081,76530,2002,1148085,12610,4489830
