시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,144770,491016,611000,5158674,118107,1530830,115709,183070,1007635,3739,9364550
경기,65773,2347775,2555881,22394572,225658,1973908,45295,392472,1033939,41106,31076379
경남,26169,939737,1066841,7976165,89132,1191066,46432,816620,73243,16327,12241732
경북,34008,1157966,1028273,9365393,163471,3121145,1619297,24292,1551019,12586,18077450
광주,5673,147503,199897,1551056,24701,80906,830,2700,2466,1475,2017207
대구,9940,338055,151410,2164013,51564,120959,182,33552,708380,8227,3586282
대전,6913,199065,141802,1211617,26505,89607,553,4211,802,7203,1688278
바다,0,0,3394572,0,0,0,0,0,0,0,3394572
부산,15975,305067,1577424,4402669,58714,79672,18866,53651,182276,7411,6701725
서울,36763,544391,1163893,8488542,183538,117625,0,7131,1316,10402,10553601
세종,1936,62663,131360,821428,3575,77715,541,19998,2903,2766,1124885
울산,7920,195793,600622,1257278,35574,103313,789465,114278,483856,68122,3656221
인천,10364,358457,1181712,7209947,39472,131280,195652,402217,16188,7067,9552356
전남,18546,540154,1649719,7850372,131900,1364027,2467329,264696,252791,17737,14557271
전북,12379,544851,571158,6296152,73886,1278010,48220,59072,31647,19838,8935213
제주,4581,156431,600104,2023328,22387,178373,19,33786,546,3258,3022813
충남,18681,783622,937358,7922565,77758,1402552,1306610,1509675,261054,16193,14236068
충북,10368,647217,417362,5491586,80467,1527438,96065,6540,991671,14459,9283173
